,BILL_AMT1,SEX,BILL_AMT6,PAY_3,PAY_5,PAY_AMT3,PAY_6,AGE,BILL_AMT2,MARRIAGE,PAY_AMT5,PAY_AMT4,PAY_AMT6,BILL_AMT4,BILL_AMT3,LIMIT_BAL,BILL_AMT5,PAY_4,PAY_0,PAY_2,EDUCATION,PAY_AMT2,PAY_AMT1,ks,ks_validation1,c
14,0.0,0.0,0.0,0.12948692641650347,0.026774920720501322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06129796314972523,0.7294798521609656,0.05895190723609879,0.0,0.0,0.0,0.40156600175909335,0.40156600175909335,0.001193776641714437
15,0.0,0.0,0.0,0.14725660911106483,0.05762174840964092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06434387995031218,0.0,0.08075507906271383,0.7332893480072205,0.06405465580661794,0.0,0.0,0.0,0.4064663554043515,0.4064663554043515,0.0014251026703029992
16,0.0,0.0,0.0,0.15254211577616847,0.09758001310984589,0.0,0.0022935065045438453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128496197475012,0.0,0.08641702370280836,0.7379482628096273,0.05664447252808455,0.0,0.054745353926388476,0.03900656541341201,0.4111065756099011,0.4111065756099011,0.0017012542798525892
17,0.0,0.0,0.0,0.15300353044432835,0.09944609402382573,0.0,0.030557402897868353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1766941536270246,0.0,0.11017388498860743,0.734428325917599,0.05325579095778858,0.0,0.10532013681052071,0.08114461991041007,0.4119768345792804,0.4119768345792804,0.002030917620904735
18,0.0,0.0,0.0,0.16083297851300807,0.12396329007179983,0.05676747803132989,0.048094275008997565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21734226299212192,0.0,0.1005749093162964,0.7320308141511795,0.05638239106794537,0.0,0.12208069586816195,0.10708499085746527,0.41248061576317313,0.41248061576317313,0.0024244620170823282
19,0.0,0.0,0.0,0.1601024320858561,0.11470697678271405,0.08416287384222602,0.08766641817347534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25091057750936857,0.0,0.1181180580306728,0.7347855515963065,0.047466128024901896,0.0,0.15715137431844886,0.13336744298243247,0.41118939107568164,0.41118939107568164,0.0028942661247167516
20,0.0,0.0,0.0,0.14722290054404893,0.13760651988021558,0.12885657010250884,0.10388245345690374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27737858129720394,0.0,0.11799992030198703,0.7288802973723132,0.06163827810714108,0.0,0.19110644231617518,0.13834470622338502,0.4113687987856621,0.4113687987856621,0.003455107294592218
21,0.0,0.0,0.0,0.1692934138978548,0.15986826149246877,0.17506060208995375,0.1095883218717532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3044822894487522,0.0,0.10103441769157274,0.7304169631882034,0.056538116068362586,0.0,0.19204908914765223,0.15688987933439044,0.41148830072880704,0.41148830072880704,0.004124626382901352
22,0.0,0.0,0.0,0.1550022951328373,0.1539280368927234,0.1855375490764805,0.13413883859784378,0.0,0.0,0.0,0.0,0.023557954767183142,0.0,0.0,0.0,0.3216315738650834,0.0,0.11502204491140575,0.7306986372820116,0.06559179549778629,0.0,0.21602959230562227,0.16080003748162353,0.4116721201037872,0.4116721201037872,0.004923882631706742
23,0.0,0.0,0.0,0.16133702806186428,0.13397366189799456,0.17767136211868384,0.15128437035785966,0.0,0.0,0.0,0.0,0.05994009110948255,0.009411355469165907,0.0,0.0,0.33623629846886044,0.0,0.13696354227428334,0.7320816181156896,0.05925674580860247,0.0,0.2235836089527793,0.17151012751622646,0.4108267831717735,0.4108267831717735,0.0058780160722749115
